State,Guantanamo Bay,Jerusalem,Drug Overdose,Chain Migration,Vocational Schools,MS-13,Prison,Parental Leave,ICE,Diversity Immigrant Visa,Automotive Industry,Manufacturing,Veterans,Veteran Affairs,National Anthem,Wages,California Wild Fires,taxes,ISIS,trade,unemployment,energy,terrorism,drugs,opioids,immigration,ACA/Obamacare,north korea,Iran,china,Afghanistan,russia,economy,coal mining (industry),jobs,Stock Market,Tax Cuts of 2017,Tax Cuts,trade deficit,military,war,hurricane,puerto rico,gun violence,gun control,cuba,putin,mexico,NATO,Israel,Al Qaeda,Clean Power Plan,Border
Hawaii,0.03327,0.01613,0.01613,0.02319,0.00000,0.16838,0.05848,0.00403,0.01613,0.00202,0.00807,0.02420,0.03126,0.03126,0.00302,0.06655,0.00302,0.78041,0.00907,0.08470,0.06050,0.08570,0.01512,0.09982,0.01714,0.09881,0.02017,0.12099,0.01008,0.13511,0.01412,0.05445,0.03831,0.00202,0.77436,0.05747,0.00000,0.01109,0.00000,0.21577,0.11494,0.02521,0.03025,0.00000,0.00101,0.00907,0.00706,0.10587,0.00403,0.02823,0.00101,0.00000,0.01412
Iowa,0.12163,0.02496,0.02178,0.07436,0.00000,0.40791,0.28787,0.00425,0.01965,0.00690,0.00372,0.05524,0.03877,0.02709,0.00956,0.06267,0.00425,0.79617,0.02231,0.09295,0.08551,0.10782,0.02974,0.11048,0.03771,0.18537,0.02390,0.13172,0.01381,0.08392,0.01647,0.07436,0.04780,0.00106,0.91514,0.06002,0.00000,0.03771,0.00372,0.10304,0.15828,0.02656,0.03134,0.00159,0.00425,0.03452,0.00584,0.18271,0.00690,0.04993,0.00159,0.00000,0.02390
Idaho,0.08880,0.02042,0.02930,0.05151,0.00000,0.32146,0.43336,0.00266,0.01598,0.00622,0.00266,0.04973,0.03463,0.02309,0.00710,0.07815,0.00710,0.81787,0.02575,0.07992,0.09502,0.10656,0.01776,0.12965,0.03108,0.14564,0.01243,0.08969,0.01598,0.08259,0.01776,0.08259,0.04795,0.00089,0.89158,0.05683,0.00000,0.03374,0.00000,0.14208,0.19892,0.02042,0.02131,0.00178,0.00355,0.03108,0.00622,0.22733,0.00710,0.04174,0.00178,0.00089,0.03641
Illinois,0.11680,0.02886,0.02199,0.08588,0.00000,0.52892,0.18020,0.00530,0.02483,0.01266,0.00491,0.04672,0.03543,0.02336,0.00883,0.06399,0.00697,0.75908,0.02778,0.08578,0.08843,0.12347,0.03504,0.13721,0.05212,0.25244,0.02679,0.12376,0.01914,0.09677,0.01188,0.09088,0.05418,0.00501,0.79274,0.05536,0.00000,0.03131,0.00137,0.10060,0.18265,0.02601,0.05123,0.00294,0.00255,0.03366,0.00864,0.28620,0.00432,0.05339,0.00177,0.00000,0.03543
Indiana,0.11296,0.02282,0.02739,0.08187,0.00000,0.41107,0.33005,0.00314,0.02653,0.01141,0.00399,0.06105,0.04079,0.02910,0.00485,0.06561,0.00371,0.89117,0.02681,0.08558,0.08729,0.12694,0.03708,0.18228,0.04193,0.18571,0.01797,0.11924,0.01284,0.08073,0.00970,0.07930,0.05591,0.00399,0.83126,0.05106,0.00000,0.03880,0.00143,0.11296,0.16802,0.02567,0.03366,0.00228,0.00456,0.02168,0.00970,0.16802,0.00257,0.05249,0.00086,0.00029,0.02938
Kansas,0.08802,0.02048,0.02325,0.07307,0.00000,0.42405,0.23306,0.00221,0.03211,0.01273,0.00277,0.04263,0.03875,0.03488,0.01052,0.03986,0.00554,0.82651,0.02325,0.14670,0.07584,0.10906,0.02713,0.15224,0.04706,0.19099,0.02270,0.13452,0.01605,0.06422,0.01605,0.08802,0.05038,0.00332,0.85752,0.04263,0.00000,0.03377,0.00111,0.14504,0.17494,0.02602,0.04041,0.00221,0.00277,0.02602,0.00664,0.20372,0.00498,0.05204,0.00055,0.00000,0.02159
Kentucky,0.08463,0.01823,0.03342,0.04861,0.00000,0.30943,0.40143,0.00521,0.02213,0.00825,0.00304,0.05555,0.04513,0.02734,0.00477,0.04513,0.00434,0.84539,0.02040,0.07942,0.06987,0.09982,0.02170,0.17272,0.03559,0.14018,0.02257,0.09027,0.01476,0.07421,0.01259,0.07161,0.04340,0.00781,0.88445,0.04166,0.00000,0.03168,0.00130,0.11891,0.15363,0.02126,0.03298,0.00087,0.00260,0.03385,0.00608,0.12151,0.00477,0.03472,0.00130,0.00000,0.02343
Louisiana,0.10028,0.02477,0.02438,0.05820,0.00000,0.33977,0.30320,0.00393,0.03067,0.00865,0.00275,0.03382,0.04837,0.03657,0.00904,0.04444,0.00472,0.81718,0.02360,0.08258,0.06843,0.11050,0.01809,0.18011,0.04208,0.14472,0.02320,0.09438,0.00865,0.07432,0.01219,0.06764,0.04483,0.00157,0.87498,0.04129,0.00000,0.02517,0.00079,0.12584,0.15533,0.05073,0.03146,0.00000,0.00039,0.03028,0.00904,0.12584,0.00354,0.05388,0.00039,0.00000,0.02989
Massachusetts,0.12229,0.03924,0.02803,0.10174,0.00000,0.60502,0.11212,0.00893,0.02865,0.01931,0.00498,0.04381,0.03800,0.02492,0.00602,0.07994,0.00374,0.65900,0.03343,0.08160,0.09841,0.13558,0.04153,0.13703,0.05004,0.30168,0.02595,0.14658,0.02678,0.11108,0.01765,0.10776,0.06395,0.00332,0.74787,0.05730,0.00000,0.03613,0.00166,0.09551,0.17524,0.02284,0.09343,0.00270,0.00208,0.03301,0.01183,0.10900,0.00415,0.07080,0.00104,0.00021,0.03011
Maryland,0.12518,0.03773,0.02768,0.10093,0.00000,0.37678,0.12959,0.00735,0.03773,0.01960,0.00343,0.03797,0.04875,0.03454,0.00784,0.07521,0.00171,0.79398,0.03479,0.12396,0.12200,0.11465,0.04067,0.14282,0.04973,0.27732,0.02352,0.13964,0.03430,0.10461,0.01862,0.08795,0.05708,0.00416,0.87090,0.05610,0.00000,0.03626,0.00024,0.14331,0.17393,0.02229,0.05463,0.00196,0.00343,0.03430,0.00906,0.13302,0.00637,0.07888,0.00122,0.00049,0.03111
