entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018
Supreme Court,0.021,0.025,0.055,0.019,0.016,0.021,0.067,0.024,0.023,0.021,0.018,0.023,0.020,0.024,0.024
opioids,0.000,0.003,0.004,0.002,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.006,0.006,0.011,0.023
Iran,0.035,0.041,0.043,0.032,0.024,0.025,0.030,0.023,0.044,0.029,0.034,0.041,0.125,0.022,0.020
FDA,0.033,0.033,0.023,0.026,0.024,0.023,0.023,0.022,0.018,0.018,0.018,0.019,0.016,0.018,0.020
Pensions,0.023,0.025,0.022,0.023,0.019,0.020,0.020,0.021,0.019,0.016,0.020,0.018,0.017,0.018,0.020
NOAA,0.031,0.028,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.000,0.019
Norway,0.023,0.018,0.021,0.013,0.013,0.012,0.015,0.017,0.019,0.012,0.017,0.014,0.015,0.013,0.019
Venezuela,0.022,0.022,0.027,0.022,0.000,0.000,0.000,0.015,0.020,0.023,0.028,0.021,0.018,0.017,0.019
Muslims,0.020,0.020,0.038,0.025,0.029,0.020,0.021,0.022,0.021,0.022,0.019,0.037,0.035,0.035,0.019
Haiti,0.012,0.018,0.019,0.013,0.014,0.015,0.269,0.027,0.020,0.019,0.016,0.016,0.016,0.018,0.019
El Salvador,0.015,0.019,0.016,0.011,0.015,0.025,0.027,0.015,0.020,0.016,0.020,0.018,0.018,0.000,0.018
Pakistani,0.037,0.026,0.025,0.016,0.020,0.020,0.018,0.017,0.018,0.019,0.018,0.034,0.020,0.018,0.018
Affordable Care Act,0.004,0.000,0.002,0.002,0.002,0.002,0.004,0.009,0.011,0.030,0.074,0.040,0.030,0.036,0.018
September 11 attacks,0.033,0.030,0.043,0.026,0.022,0.020,0.019,0.019,0.021,0.015,0.015,0.016,0.016,0.017,0.017
HIV,0.000,0.050,0.049,0.037,0.039,0.000,0.028,0.025,0.024,0.022,0.022,0.019,0.021,0.019,0.017
Chile,0.000,0.031,0.035,0.023,0.028,0.000,0.000,0.024,0.020,0.018,0.019,0.019,0.019,0.018,0.017
Dream act,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.005,0.004,0.003,0.002,0.002,0.002,0.004,0.017
San Bernardino,0.016,0.014,0.017,0.010,0.014,0.014,0.011,0.016,0.018,0.028,0.015,0.016,0.019,0.019,0.017
Chain Migration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017
Drug Overdose,0.007,0.006,0.009,0.007,0.010,0.012,0.008,0.014,0.013,0.011,0.012,0.012,0.015,0.014,0.016
United Nations,0.037,0.041,0.036,0.028,0.024,0.024,0.023,0.018,0.017,0.018,0.015,0.016,0.016,0.017,0.016
Netherlands,0.031,0.031,0.026,0.023,0.021,0.024,0.024,0.016,0.016,0.016,0.014,0.016,0.015,0.016,0.016
Tax Cuts,0.007,0.007,0.011,0.005,0.012,0.013,0.007,0.004,0.003,0.001,0.001,0.002,0.001,0.002,0.016
terrorism,0.035,0.026,0.028,0.021,0.018,0.019,0.019,0.014,0.010,0.010,0.011,0.021,0.018,0.019,0.015
Federal Government,0.000,0.039,0.031,0.028,0.025,0.027,0.019,0.036,0.017,0.018,0.021,0.018,0.017,0.014,0.015
Department of Defense,0.000,0.038,0.000,0.000,0.000,0.000,0.028,0.024,0.024,0.020,0.018,0.017,0.013,0.019,0.015
Planned Parenthood,0.023,0.017,0.024,0.018,0.019,0.018,0.014,0.021,0.020,0.016,0.015,0.015,0.019,0.000,0.015
Poland,0.024,0.029,0.023,0.018,0.015,0.019,0.029,0.016,0.015,0.014,0.014,0.016,0.016,0.015,0.015
Federal reserve system,0.021,0.027,0.024,0.014,0.000,0.017,0.019,0.014,0.017,0.010,0.018,0.011,0.015,0.012,0.015
Common core,0.000,0.004,0.003,0.003,0.002,0.003,0.003,0.005,0.010,0.020,0.028,0.029,0.024,0.017,0.015
Steve Scalise,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.015
Morocco,0.014,0.012,0.013,0.011,0.014,0.014,0.020,0.010,0.011,0.007,0.010,0.010,0.010,0.011,0.015
Homeland Security Department,0.026,0.022,0.021,0.024,0.018,0.022,0.019,0.016,0.014,0.013,0.014,0.014,0.012,0.015,0.014
Treasury,0.023,0.019,0.020,0.016,0.021,0.024,0.013,0.012,0.014,0.012,0.011,0.012,0.008,0.011,0.014
Afghanistan,0.021,0.021,0.016,0.015,0.017,0.019,0.030,0.026,0.021,0.020,0.017,0.014,0.012,0.011,0.014
Charter schools,0.012,0.011,0.015,0.013,0.010,0.017,0.017,0.018,0.016,0.014,0.015,0.015,0.014,0.015,0.014
Iraq,0.099,0.155,0.089,0.115,0.073,0.048,0.035,0.031,0.029,0.018,0.018,0.023,0.018,0.016,0.014
Nuclear power,0.028,0.022,0.020,0.017,0.018,0.019,0.020,0.014,0.013,0.016,0.012,0.015,0.012,0.013,0.013
Tax Reform,0.004,0.003,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.001,0.013
Panama,0.029,0.025,0.019,0.020,0.021,0.020,0.026,0.019,0.016,0.016,0.017,0.017,0.014,0.015,0.013
Belgium,0.028,0.021,0.017,0.014,0.016,0.014,0.016,0.013,0.013,0.015,0.012,0.014,0.012,0.013,0.013
Capital punishment,0.028,0.000,0.031,0.022,0.016,0.021,0.017,0.017,0.015,0.016,0.017,0.017,0.013,0.014,0.013
Middle East,0.030,0.025,0.024,0.021,0.017,0.015,0.012,0.015,0.014,0.012,0.012,0.014,0.016,0.013,0.012
Staub Manufacturing Solutions,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012
Social Security,0.007,0.017,0.004,0.005,0.010,0.009,0.012,0.009,0.008,0.007,0.011,0.009,0.010,0.009,0.012
Syria,0.007,0.010,0.008,0.007,0.005,0.004,0.008,0.005,0.010,0.012,0.014,0.011,0.022,0.019,0.012
Ukraine,0.019,0.015,0.011,0.011,0.013,0.009,0.012,0.009,0.009,0.010,0.034,0.025,0.014,0.013,0.012
Teddy Roosevelt,0.020,0.012,0.011,0.010,0.010,0.014,0.008,0.009,0.009,0.011,0.008,0.009,0.010,0.011,0.012
Indonesia,0.024,0.019,0.016,0.013,0.016,0.011,0.014,0.013,0.012,0.012,0.016,0.036,0.014,0.014,0.011
Jerusalem,0.015,0.012,0.009,0.008,0.009,0.010,0.007,0.008,0.008,0.008,0.008,0.009,0.007,0.007,0.011
Federal Housing Administration,0.008,0.008,0.007,0.005,0.017,0.026,0.017,0.014,0.016,0.013,0.010,0.014,0.010,0.011,0.011
ISIS,0.013,0.005,0.005,0.005,0.005,0.003,0.003,0.004,0.004,0.003,0.005,0.000,0.000,0.017,0.011
Mattis,0.000,0.005,0.000,0.000,0.001,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.000,0.005,0.011
Coast Guard,0.017,0.016,0.014,0.021,0.018,0.015,0.012,0.011,0.010,0.009,0.009,0.010,0.009,0.008,0.011
Warren Buffett,0.007,0.006,0.004,0.004,0.005,0.006,0.005,0.007,0.029,0.005,0.007,0.004,0.007,0.011,0.011
ICE,0.000,0.004,0.003,0.006,0.004,0.005,0.004,0.006,0.005,0.004,0.005,0.003,0.005,0.012,0.011
Government,0.000,0.027,0.018,0.018,0.016,0.015,0.015,0.010,0.011,0.009,0.010,0.011,0.011,0.009,0.011
Saudi Arabia,0.013,0.014,0.015,0.012,0.011,0.014,0.032,0.012,0.011,0.011,0.012,0.019,0.016,0.014,0.010
Climate change,0.005,0.003,0.003,0.006,0.007,0.007,0.008,0.004,0.005,0.008,0.010,0.009,0.009,0.014,0.010
Denmark,0.015,0.017,0.025,0.008,0.012,0.010,0.012,0.011,0.013,0.007,0.010,0.010,0.010,0.010,0.010
Arab,0.014,0.015,0.018,0.014,0.016,0.016,0.031,0.015,0.014,0.014,0.017,0.023,0.016,0.013,0.010
Edison,0.006,0.005,0.007,0.007,0.007,0.009,0.009,0.010,0.010,0.009,0.008,0.008,0.008,0.010,0.010
Thrift Savings Plan,0.015,0.022,0.015,0.014,0.013,0.008,0.008,0.011,0.009,0.010,0.009,0.010,0.007,0.009,0.009
Cape Town,0.005,0.003,0.003,0.004,0.004,0.005,0.007,0.003,0.003,0.003,0.003,0.004,0.003,0.005,0.009
Youngstown,0.014,0.008,0.007,0.011,0.008,0.007,0.007,0.009,0.009,0.011,0.010,0.010,0.010,0.009,0.009
Capitol,0.007,0.008,0.009,0.004,0.004,0.006,0.004,0.007,0.005,0.004,0.005,0.006,0.006,0.005,0.009
C-SPAN,0.011,0.016,0.031,0.021,0.011,0.016,0.018,0.016,0.011,0.010,0.010,0.007,0.006,0.007,0.009
Global warming,0.016,0.017,0.020,0.050,0.041,0.026,0.022,0.014,0.009,0.011,0.015,0.011,0.009,0.013,0.009
Little League,0.009,0.012,0.012,0.014,0.012,0.015,0.012,0.014,0.012,0.011,0.010,0.009,0.007,0.010,0.008
Torture,0.016,0.016,0.013,0.008,0.009,0.011,0.012,0.010,0.010,0.009,0.010,0.012,0.008,0.010,0.008
Bali,0.009,0.007,0.007,0.008,0.008,0.007,0.005,0.006,0.007,0.005,0.006,0.008,0.007,0.009,0.008
Genetically modified organism,0.004,0.005,0.004,0.003,0.003,0.003,0.003,0.004,0.006,0.009,0.012,0.011,0.010,0.012,0.008
Beijing,0.014,0.016,0.012,0.011,0.021,0.015,0.012,0.009,0.010,0.008,0.008,0.009,0.008,0.008,0.008
Edward Kennedy,0.020,0.006,0.007,0.004,0.000,0.004,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.008
Aid,0.011,0.008,0.008,0.008,0.009,0.008,0.009,0.008,0.008,0.006,0.006,0.007,0.006,0.008,0.008
First Lady,0.005,0.004,0.002,0.002,0.002,0.003,0.001,0.002,0.003,0.004,0.003,0.003,0.008,0.006,0.008
Confederate states,0.018,0.010,0.008,0.010,0.006,0.009,0.007,0.006,0.006,0.006,0.007,0.007,0.010,0.014,0.008
John McCain,0.005,0.003,0.008,0.022,0.000,0.013,0.012,0.007,0.007,0.004,0.005,0.004,0.005,0.006,0.008
Net neutrality,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.002,0.000,0.000,0.003,0.004,0.000,0.002,0.008
Fannie Mae,0.012,0.011,0.006,0.008,0.010,0.012,0.009,0.013,0.011,0.010,0.007,0.007,0.006,0.009,0.008
National Anthem,0.009,0.005,0.006,0.005,0.006,0.004,0.004,0.004,0.008,0.004,0.006,0.004,0.006,0.004,0.008
Tariff,0.007,0.007,0.010,0.005,0.005,0.006,0.007,0.005,0.005,0.005,0.006,0.007,0.006,0.009,0.008
European Union,0.021,0.015,0.013,0.012,0.011,0.011,0.011,0.008,0.010,0.007,0.007,0.010,0.006,0.007,0.008
First amendment,0.005,0.012,0.008,0.005,0.008,0.006,0.010,0.006,0.007,0.005,0.005,0.005,0.006,0.006,0.007
Law Enforcement,0.012,0.010,0.011,0.007,0.009,0.010,0.008,0.008,0.008,0.008,0.007,0.006,0.007,0.008,0.007
Lebanon,0.011,0.011,0.008,0.017,0.011,0.012,0.011,0.015,0.008,0.006,0.007,0.010,0.008,0.007,0.007
Truman,0.009,0.017,0.010,0.009,0.012,0.009,0.006,0.005,0.006,0.006,0.005,0.006,0.005,0.009,0.007
Putin,0.000,0.004,0.007,0.001,0.002,0.002,0.001,0.003,0.002,0.002,0.005,0.007,0.008,0.010,0.007
Department of State,0.024,0.024,0.025,0.023,0.019,0.024,0.016,0.017,0.013,0.010,0.011,0.010,0.007,0.011,0.007
Department of Justice,0.014,0.017,0.013,0.013,0.009,0.011,0.009,0.007,0.007,0.008,0.006,0.005,0.005,0.007,0.007
Burma,0.010,0.006,0.007,0.007,0.007,0.005,0.005,0.006,0.010,0.009,0.011,0.009,0.009,0.007,0.007
Steve Jobs,0.004,0.006,0.004,0.003,0.006,0.007,0.034,0.009,0.031,0.009,0.009,0.009,0.013,0.006,0.007
Wall Street,0.012,0.010,0.008,0.008,0.010,0.010,0.008,0.007,0.007,0.006,0.009,0.008,0.007,0.007,0.007
Second Amendment,0.000,0.000,0.005,0.003,0.003,0.003,0.002,0.003,0.003,0.011,0.004,0.003,0.009,0.003,0.007
Capital gains tax,0.009,0.005,0.008,0.005,0.003,0.003,0.007,0.002,0.010,0.003,0.004,0.008,0.004,0.005,0.007
Elkhart,0.008,0.004,0.005,0.006,0.005,0.005,0.006,0.005,0.006,0.005,0.006,0.006,0.007,0.009,0.006
Romania,0.015,0.016,0.015,0.013,0.013,0.008,0.019,0.008,0.007,0.008,0.008,0.008,0.006,0.007,0.006
Legality of cannabis,0.006,0.004,0.004,0.003,0.004,0.015,0.005,0.005,0.004,0.006,0.011,0.006,0.005,0.006,0.006
Siemens,0.000,0.020,0.014,0.016,0.015,0.010,0.013,0.010,0.014,0.010,0.008,0.008,0.006,0.007,0.006
National Institutes of Health,0.014,0.020,0.015,0.012,0.012,0.017,0.012,0.010,0.009,0.008,0.008,0.008,0.006,0.008,0.006
Georgetown University,0.014,0.017,0.009,0.014,0.010,0.010,0.010,0.010,0.009,0.006,0.008,0.008,0.008,0.007,0.006
Public transportation,0.015,0.017,0.016,0.012,0.014,0.012,0.013,0.010,0.010,0.009,0.010,0.009,0.008,0.008,0.006
American Armed Forces,0.010,0.008,0.010,0.009,0.008,0.006,0.007,0.006,0.007,0.006,0.005,0.006,0.007,0.007,0.006
Seoul,0.004,0.004,0.005,0.005,0.003,0.005,0.005,0.004,0.005,0.005,0.004,0.005,0.004,0.006,0.006
Dwight D. Eisenhower,0.008,0.005,0.008,0.006,0.005,0.007,0.005,0.006,0.005,0.006,0.006,0.006,0.005,0.009,0.006
NATO,0.008,0.009,0.005,0.003,0.005,0.005,0.004,0.005,0.004,0.005,0.005,0.006,0.005,0.014,0.006
Thomas Edison,0.013,0.013,0.010,0.009,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.007,0.007,0.006,0.006
Ji Seong-ho,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006
Rubio,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.004,0.000,0.004,0.005,0.017,0.004,0.006
FCC,0.020,0.017,0.013,0.009,0.010,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.006
Women's health,0.000,0.005,0.004,0.002,0.003,0.002,0.001,0.002,0.003,0.002,0.003,0.002,0.007,0.007,0.006
Sick leave,0.000,0.000,0.000,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.006,0.004,0.004,0.006
Lockheed,0.018,0.016,0.015,0.013,0.013,0.012,0.011,0.009,0.008,0.006,0.006,0.007,0.005,0.007,0.006
Middle Class,0.000,0.004,0.002,0.002,0.004,0.003,0.005,0.002,0.006,0.006,0.004,0.019,0.004,0.006,0.005
Yemen,0.005,0.004,0.004,0.003,0.002,0.003,0.007,0.004,0.005,0.004,0.004,0.028,0.006,0.000,0.005
Mad Men,0.000,0.000,0.000,0.000,0.002,0.005,0.009,0.010,0.015,0.009,0.011,0.008,0.007,0.005,0.005
National Debt of the United States,0.009,0.008,0.008,0.005,0.005,0.007,0.011,0.013,0.015,0.007,0.007,0.010,0.011,0.008,0.005
Parental Leave,0.000,0.004,0.000,0.002,0.003,0.002,0.004,0.002,0.003,0.003,0.004,0.005,0.005,0.005,0.005
Hispanic American,0.009,0.008,0.008,0.004,0.006,0.006,0.004,0.004,0.003,0.005,0.004,0.003,0.003,0.005,0.005
Hungary,0.012,0.015,0.009,0.008,0.007,0.006,0.011,0.007,0.005,0.004,0.005,0.006,0.005,0.005,0.005
Pentagon,0.007,0.007,0.006,0.005,0.004,0.004,0.003,0.004,0.005,0.004,0.003,0.004,0.005,0.004,0.005
California Wild Fires,0.013,0.006,0.008,0.010,0.017,0.006,0.005,0.005,0.003,0.005,0.004,0.003,0.004,0.004,0.005
Overtime pay,0.013,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.005,0.004,0.005
Articles of Confederation,0.009,0.003,0.003,0.003,0.003,0.002,0.003,0.005,0.005,0.004,0.004,0.005,0.005,0.003,0.005
Biden,0.000,0.000,0.002,0.005,0.003,0.017,0.014,0.017,0.016,0.000,0.032,0.029,0.000,0.013,0.005
Corporate tax,0.005,0.005,0.006,0.004,0.003,0.003,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.004,0.005
Congo,0.009,0.008,0.006,0.008,0.006,0.005,0.005,0.005,0.006,0.005,0.005,0.007,0.005,0.006,0.005
Blacksburg,0.005,0.004,0.005,0.007,0.007,0.006,0.005,0.007,0.006,0.006,0.004,0.004,0.005,0.007,0.005
Sudan,0.008,0.014,0.013,0.008,0.008,0.009,0.006,0.009,0.004,0.005,0.005,0.008,0.004,0.005,0.005
World Trade Center,0.015,0.012,0.016,0.010,0.009,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.007,0.004,0.005
Automotive Industry,0.013,0.004,0.008,0.006,0.006,0.008,0.005,0.004,0.007,0.004,0.004,0.004,0.003,0.004,0.004
Libya,0.009,0.004,0.006,0.003,0.003,0.006,0.016,0.003,0.009,0.004,0.004,0.003,0.003,0.003,0.004
Social programs in the United States,0.005,0.003,0.004,0.003,0.002,0.005,0.004,0.010,0.006,0.005,0.005,0.004,0.004,0.005,0.004
West Point,0.007,0.008,0.010,0.008,0.006,0.005,0.007,0.006,0.006,0.004,0.004,0.004,0.004,0.005,0.004
NAFTA,0.005,0.005,0.003,0.004,0.005,0.004,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.005,0.004
National Security Agency,0.005,0.008,0.016,0.007,0.006,0.006,0.004,0.009,0.005,0.004,0.015,0.006,0.005,0.004,0.004
Ebola,0.000,0.004,0.004,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0.001,0.031,0.005,0.004,0.004
Voice of America,0.004,0.003,0.004,0.004,0.002,0.003,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.004
ROTC,0.006,0.003,0.007,0.004,0.005,0.007,0.006,0.010,0.005,0.005,0.005,0.004,0.004,0.004,0.004
Pflugerville,0.000,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.004
Bulgaria,0.009,0.008,0.007,0.007,0.007,0.005,0.005,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004
Diversity Immigrant Visa,0.005,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.004
Same-sex marriage,0.020,0.016,0.011,0.009,0.007,0.009,0.011,0.008,0.016,0.014,0.018,0.014,0.008,0.006,0.004
Electoral college,0.022,0.004,0.002,0.004,0.009,0.003,0.002,0.003,0.004,0.004,0.003,0.003,0.005,0.006,0.004
Lobbying,0.009,0.006,0.008,0.008,0.007,0.005,0.009,0.006,0.007,0.004,0.004,0.005,0.007,0.009,0.004
American Dream,0.005,0.007,0.003,0.004,0.003,0.005,0.004,0.004,0.004,0.003,0.004,0.004,0.003,0.004,0.004
Atlantic Ocean,0.005,0.006,0.003,0.003,0.002,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.004
Somalia,0.008,0.006,0.005,0.008,0.005,0.006,0.005,0.007,0.026,0.004,0.008,0.005,0.003,0.005,0.004
Gulf Coast,0.008,0.005,0.007,0.004,0.006,0.004,0.003,0.004,0.005,0.004,0.006,0.005,0.004,0.004,0.004
New London,0.000,0.005,0.005,0.005,0.004,0.005,0.004,0.004,0.004,0.003,0.003,0.004,0.004,0.003,0.003
Neil Gorsuch,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.003
West Africa,0.009,0.006,0.005,0.004,0.003,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003
COBRA,0.007,0.009,0.007,0.006,0.008,0.019,0.011,0.006,0.005,0.003,0.003,0.003,0.003,0.004,0.003
Zimbabwe,0.009,0.011,0.009,0.006,0.005,0.006,0.006,0.003,0.004,0.004,0.005,0.006,0.004,0.004,0.003
Euthanasia,0.010,0.010,0.006,0.005,0.005,0.005,0.004,0.003,0.005,0.004,0.004,0.004,0.003,0.003,0.003
Palestinian Territories,0.012,0.003,0.012,0.003,0.004,0.006,0.005,0.004,0.003,0.004,0.002,0.004,0.002,0.004,0.003
Hydraulic fracturing,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.002,0.009,0.009,0.009,0.008,0.004,0.005,0.003
Elyria,0.005,0.004,0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.004,0.004,0.003
Golden Gate Bridge,0.004,0.005,0.003,0.004,0.004,0.002,0.004,0.003,0.004,0.003,0.003,0.004,0.003,0.003,0.003
Cairo,0.005,0.007,0.006,0.003,0.005,0.006,0.004,0.008,0.004,0.002,0.002,0.003,0.002,0.002,0.003
Mali,0.009,0.008,0.004,0.005,0.003,0.004,0.005,0.002,0.003,0.007,0.003,0.004,0.003,0.004,0.003
gun control,0.008,0.007,0.004,0.004,0.005,0.007,0.003,0.006,0.003,0.033,0.007,0.003,0.013,0.004,0.003
Flags of the confederate states,0.004,0.003,0.003,0.003,0.002,0.004,0.002,0.002,0.002,0.003,0.003,0.002,0.006,0.009,0.003
North Africa,0.000,0.004,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.003
Gerrymandering,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.004,0.003
Court of Appeals,0.000,0.008,0.005,0.005,0.005,0.002,0.004,0.004,0.004,0.003,0.003,0.004,0.003,0.003,0.003
coal mining (industry),0.000,0.005,0.007,0.003,0.002,0.002,0.002,0.003,0.004,0.002,0.002,0.002,0.002,0.004,0.003
Hoover Dam,0.005,0.000,0.004,0.003,0.003,0.002,0.004,0.004,0.004,0.002,0.003,0.003,0.003,0.003,0.003
Usama bin Laden,0.010,0.009,0.015,0.009,0.008,0.005,0.007,0.003,0.012,0.017,0.005,0.006,0.008,0.004,0.003
Border Patrol Agents,0.005,0.000,0.005,0.005,0.003,0.007,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.004,0.003
Arabian Peninsula,0.010,0.006,0.005,0.004,0.004,0.004,0.005,0.003,0.003,0.002,0.003,0.004,0.003,0.004,0.003
Immigration to the United States,0.005,0.005,0.007,0.002,0.004,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003
Pope Francis,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.006,0.009,0.012,0.004,0.007,0.003
Romney,0.000,0.000,0.002,0.007,0.000,0.001,0.004,0.003,0.000,0.009,0.009,0.011,0.004,0.002,0.003
Taliban,0.010,0.003,0.003,0.001,0.002,0.004,0.003,0.001,0.003,0.002,0.002,0.003,0.002,0.002,0.003
Interstate Highway System,0.005,0.004,0.003,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.009,0.003,0.003,0.003,0.003
Affirmative action,0.010,0.008,0.008,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.003
Selma,0.000,0.000,0.000,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0.002,0.006,0.002,0.003,0.003
Federal Convention,0.004,0.003,0.004,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.003,0.003,0.002,0.003
Tunisia,0.007,0.004,0.005,0.002,0.003,0.003,0.005,0.024,0.003,0.003,0.003,0.004,0.003,0.003,0.003
Anti-abortion movements,0.007,0.006,0.004,0.004,0.003,0.003,0.005,0.003,0.004,0.002,0.002,0.003,0.002,0.002,0.003
Tehran,0.004,0.000,0.003,0.001,0.002,0.002,0.002,0.003,0.003,0.004,0.005,0.006,0.004,0.001,0.002
Southeast Asia,0.005,0.006,0.004,0.003,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.004,0.003,0.003,0.002
North Miami,0.000,0.003,0.002,0.003,0.002,0.001,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.002
Iraq War,0.023,0.024,0.025,0.026,0.018,0.010,0.007,0.005,0.006,0.004,0.003,0.003,0.002,0.002,0.002
Justin Peck,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002
